Age,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,713300,714900,713200,741800,748900,757700,779500,770700,775500,789700,785100,757000,755200,731700,718800,733300,712500,704500,682400,662662,661786,679910,704450,716331,734035,757429,788225,782726,791801,801184,815850,792557,778251,776769,782450,763201,745263,722881
1-4,2806500,2866700,2881300,2868600,2892700,2927600,2968000,3037000,3065600,3077300,3106400,3109400,3096900,3078300,3018900,2953600,2930000,2896300,2868700,2819500,2764414,2722748,2703151,2725598,2768590,2844085,2923758,3010195,3078756,3125697,3180469,3221066,3248019,3250323,3231864,3197540,3168765,3134382
5-9,3489400,3364200,3352800,3398300,3467300,3549300,3619000,3632600,3649600,3656600,3694600,3754600,3806100,3832400,3874800,3895900,3873100,3856400,3803600,3734424,3700985,3678254,3650736,3613588,3560426,3497606,3461954,3455445,3477176,3536700,3641055,3761449,3859260,3954446,4037456,4113446,4138524,4149852
10-14,4355800,4223800,4049700,3887900,3690000,3513200,3394300,3384600,3429400,3484700,3558800,3622500,3633600,3648600,3669600,3711800,3775500,3827500,3848800,3890055,3908980,3895472,3880068,3850906,3805928,3785764,3763203,3733870,3705474,3652622,3576346,3532142,3521994,3549251,3625062,3733386,3858894,3953866
15-19,4756500,4726300,4640300,4540000,4478900,4376800,4249500,4078900,3918200,3719400,3531200,3405400,3386800,3423700,3479500,3551700,3609700,3625500,3632600,3678087,3745303,3823356,3870425,3900192,3946839,3993585,3996462,4016880,4001747,3972993,3925703,3883208,3849680,3823873,3778927,3704235,3669250,3656968
20-24,4375600,4495300,4638800,4747000,4784300,4784900,4727700,4650700,4554800,4448200,4350500,4231900,4073900,3929300,3751400,3579300,3469400,3464000,3506800,3581785,3664873,3749087,3840482,3939052,4010081,4084829,4141095,4146415,4202665,4299463,4332930,4314191,4314073,4294683,4253751,4207234,4184575,4153080
25-29,3846000,3890900,3980100,4102800,4237200,4372800,4495100,4618700,4719000,4690200,4690900,4652000,4600200,4525000,4469200,4383600,4278100,4155400,4054100,3916040,3784340,3703866,3716398,3826801,3941392,4081614,4207081,4246737,4277776,4314241,4318127,4350711,4392423,4441234,4510648,4541988,4527175,4514249
30-34,3961400,3845600,3797400,3769700,3787100,3836700,3892200,3971000,4086600,4207500,4315900,4416100,4522300,4613800,4661700,4687200,4669500,4639800,4591500,4558455,4492029,4409702,4291432,4205565,4086440,3967639,3924038,3961810,4044107,4148860,4239883,4327002,4356380,4381523,4408163,4422284,4463357,4497132
35-39,3871600,4021100,4093300,4144200,4158200,3957500,3847300,3795600,3767100,3778300,3830100,3892700,3971300,4073100,4187000,4292700,4393600,4503100,4604500,4665128,4712168,4712578,4688887,4645015,4614618,4568610,4496047,4390895,4292714,4160414,4036335,3966810,3994182,4078938,4179537,4282202,4372234,4395667
40-44,3188900,3245100,3334400,3423600,3560700,3852600,4005400,4074500,4123200,4139300,3938400,3828700,3782500,3754200,3771200,3824100,3891600,3970800,4073900,4181653,4298902,4401894,4506039,4616245,4675722,4719847,4716284,4703167,4647334,4619547,4567295,4496306,4390476,4299364,4174065,4059367,3993392,4019539
45-49,3087100,3116500,3153100,3171100,3142300,3150500,3209100,3300000,3386700,3513600,3804800,3961900,4033700,4078700,4089300,3906000,3797500,3755500,3735400,3755130,3798030,3872210,3950737,4052339,4165559,4272227,4380613,4491615,4595209,4655565,4685659,4686653,4672610,4630745,4619147,4574931,4507400,4402122
50-54,3149400,3112900,3070300,3040800,3022800,3023500,3054900,3093600,3113000,3069700,3083200,3143000,3232300,3328100,3466100,3744900,3901500,3976700,4022800,4021451,3855220,3743695,3693725,3673267,3692537,3746929,3824899,3907550,4006994,4120011,4235821,4344228,4458066,4565337,4631981,4668116,4674235,4661015
55-59,3190300,3139200,3100200,3079000,3054900,3030500,3000100,2964200,2937800,2917200,2923800,2958700,2998600,3017500,2998000,3008800,3068100,3154200,3252500,3391453,3657644,3805829,3874588,3915026,3923883,3749799,3647526,3612216,3595547,3622398,3684206,3756695,3842919,3950662,4066685,4184313,4293820,4405908
60-64,3046100,3171600,3271800,3145500,3055500,2982500,2940100,2910400,2896100,2888200,2868800,2843000,2814000,2794300,2785500,2797700,2834800,2877000,2900300,2884355,2891166,2948565,3029620,3118367,3246669,3506113,3658944,3729139,3779429,3797264,3624405,3540795,3511598,3501719,3534233,3598664,3673109,3755185
65-69,2711700,2564800,2439700,2540000,2641100,2749500,2865300,2957200,2841100,2787600,2731800,2695300,2670900,2660500,2650100,2639400,2627900,2609300,2601400,2603872,2620422,2654524,2691590,2710111,2686357,2696424,2758608,2848603,2942862,3073420,3345066,3491493,3561842,3614589,3636517,3473598,3396435,3368199
70-74,2397400,2400900,2404700,2400200,2363500,2288400,2165800,2064300,2166700,2279500,2375100,2479700,2556200,2475200,2416100,2374800,2351200,2338500,2338600,2343570,2344549,2343501,2333275,2333163,2337443,2358260,2400297,2442984,2465872,2452985,2475958,2539175,2633565,2725163,2852065,3111063,3251596,3318867
75-79,1737900,1771600,1804200,1825900,1836800,1849200,1860200,1871000,1871000,1865400,1817400,1726500,1653500,1742300,1829400,1912800,2002300,2056400,2003100,1966834,1942035,1928760,1928458,1939806,1954108,1968958,1980028,1984857,1999294,2017097,2046887,2092095,2140175,2162049,2154524,2176937,2235571,2325296
80-84,1000500,1039600,1077600,1108000,1131800,1167000,1196100,1226800,1243000,1253100,1269700,1286100,1299400,1311300,1300000,1267200,1208800,1173700,1245600,1328813,1397513,1461732,1491582,1467660,1449606,1443008,1444868,1456486,1481174,1507226,1533657,1549901,1568032,1583509,1606746,1635121,1673463,1715328
85+,620500,636300,656800,683500,709300,759800,795700,834700,866000,873300,908300,949200,974000,1006400,1027500,1049000,1079800,1099700,1119100,1129749,1125318,1100979,1104721,1164244,1226734,1276349,1309842,1338896,1373525,1407458,1439378,1459177,1503207,1525857,1564233,1592603,1608492,1647271
total,56305900,56347300,56459700,56617900,56763300,56930000,57065300,57236500,57410400,57438800,57584800,57713700,57861400,58024400,58164100,58313800,58474900,58684300,58885700,59113016,59365677,59636662,59950364,60413276,60826967,61319075,61823772,62260486,62759456,63285145,63705030,64105654,64596752,65110034,65648054,66040229,66435550,66796807
