Age,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
0,11.07107809,10.28955099,9.814918676,9.476947964,9.587394846,9.340108222,9.05837075,8.48838718,8.087685364,7.376218817,6.548210419,6.401585205,6.126853814,6.166461665,6.254869226,5.833901541,5.696842105,5.761533002,5.587631887,5.569958742,5.346139084,5.421305761,5.194123075,5.126121863,5.091037893,4.937756542,4.751181452,4.697684758,4.42535435,4.371030874,4.102469817,3.867229739,3.872786543,3.887899749,3.839222954,3.892814606,3.798658997
1-4,0.470693034,0.440227439,0.437996738,0.453879941,0.419677118,0.412283099,0.41509434,0.411590385,0.379371086,0.373054301,0.326422869,0.324499904,0.295779651,0.269629341,0.281559508,0.270855905,0.27440273,0.277940821,0.236343989,0.233020039,0.239472091,0.244238541,0.23084171,0.218300718,0.227913848,0.226786471,0.210345726,0.182380211,0.182216454,0.181399541,0.164441156,0.17199275,0.157326666,0.156907483,0.153781223,0.136667563,0.13159701
5-9,0.217802488,0.233933773,0.216833691,0.208045199,0.190061431,0.180880737,0.192594639,0.18857017,0.171251644,0.184597714,0.161045851,0.149949395,0.138724679,0.141686672,0.125941984,0.133987012,0.133742997,0.117985686,0.116731518,0.119964953,0.109430327,0.111465929,0.100253757,0.096026442,0.102234957,0.096351619,0.106587205,0.092607464,0.093754242,0.082845591,0.089259844,0.078427223,0.08473127,0.076369737,0.06885524,0.075119498,0.073697772
10-14,0.239221268,0.232728822,0.227918117,0.241261349,0.203523035,0.215757714,0.209468815,0.196773622,0.197993818,0.191695124,0.170001124,0.187439614,0.17338177,0.177054213,0.159690429,0.162185463,0.157330155,0.150751143,0.135107046,0.146270425,0.142236594,0.139906024,0.124482354,0.137110592,0.131111256,0.127319083,0.10071208,0.108198732,0.09904266,0.088703403,0.095069101,0.095409528,0.095968363,0.090159868,0.08855021,0.085445223,0.091217846
15-19,0.558183538,0.540168842,0.51138935,0.492951542,0.515974905,0.508590751,0.502882692,0.523425433,0.515798071,0.525622412,0.462449026,0.460738827,0.422522735,0.453310746,0.452651243,0.456964271,0.458763886,0.434422838,0.422837637,0.422230361,0.407710671,0.380294171,0.375927708,0.377417317,0.36611577,0.351063017,0.346556529,0.330106949,0.288124162,0.250944313,0.244287456,0.240265265,0.247553043,0.248700728,0.236839717,0.238105844,0.266539484
20-24,0.625742755,0.577714502,0.586574114,0.581419844,0.592772192,0.597295659,0.614463693,0.621626852,0.636032318,0.626545569,0.605907367,0.607292233,0.595989101,0.621739241,0.609905635,0.649568351,0.63555658,0.61056582,0.618227444,0.579320088,0.581466261,0.573206223,0.535349469,0.509259588,0.499241786,0.492799087,0.49044999,0.446168558,0.430917049,0.384931793,0.357725604,0.34676258,0.372038211,0.361609926,0.384601732,0.338940026,0.379727929
25-29,0.645085803,0.641496826,0.647722419,0.591790972,0.604880582,0.60007318,0.60287869,0.612943036,0.670269125,0.637925888,0.641454732,0.661006019,0.646058867,0.680883978,0.669023539,0.65311616,0.700077137,0.684651297,0.683012259,0.658318097,0.665109372,0.633662233,0.61026833,0.556861985,0.574162631,0.543902486,0.561434401,0.556427205,0.495818388,0.488614336,0.458995301,0.458775589,0.463753149,0.459556961,0.482414057,0.440776154,0.482640941
30-34,0.817135356,0.785053048,0.776583979,0.762925432,0.788730163,0.814762687,0.819074046,0.778645178,0.772769539,0.780273321,0.779443453,0.797083399,0.819494505,0.833586198,0.834245018,0.778289811,0.814219938,0.81145739,0.805183491,0.828350834,0.816112274,0.807991107,0.775498715,0.763987716,0.74710506,0.772751755,0.770379899,0.709271772,0.695085466,0.65753002,0.627611658,0.642939384,0.634012644,0.645665902,0.681463004,0.634739876,0.669675314
35-39,1.143196611,1.134764119,1.105465028,1.135080353,1.098071281,1.112823752,1.126244379,1.138159975,1.156061692,1.140195326,1.141223467,1.092814756,1.099136303,1.089587783,1.115357058,1.066694621,1.072013838,1.062601319,1.095884461,1.082928486,1.055777298,1.057170831,1.078934084,1.037886853,1.047540663,1.029853719,1.06182164,1.043295274,1.002862059,0.972499371,0.914195675,0.95971322,0.940367765,0.959318332,0.923786534,0.970061665,0.979133322
40-44,1.990655085,1.9389233,1.850107965,1.875511158,1.834751594,1.776203084,1.783092825,1.722419929,1.721720993,1.712608412,1.710339224,1.722777966,1.726900198,1.730595067,1.68832202,1.678564891,1.670007195,1.637957087,1.622523871,1.601758922,1.574122881,1.602492018,1.527061794,1.530464696,1.515274005,1.50767599,1.524717341,1.550232003,1.484937386,1.452306904,1.382656474,1.42628193,1.441073815,1.426024873,1.496862172,1.451211482,1.484452315
45-49,3.527258592,3.481469597,3.365893882,3.265743748,3.255577125,3.118870021,3.110217818,2.986363636,2.923199575,2.888775046,2.722350715,2.687094576,2.606539901,2.679530242,2.660112978,2.63671275,2.627254773,2.610571162,2.579643412,2.598578478,2.615039902,2.501672172,2.440304176,2.414901616,2.367989506,2.281948033,2.310635521,2.206333357,2.154200168,2.093838234,2.068012205,2.075681729,2.088340349,2.130974606,2.160788561,2.163311316,2.252296224
50-54,6.266907982,6.030389669,5.856430968,5.768547751,5.556106921,5.391433769,5.211954565,5.022950608,4.922903951,4.900153109,4.729826155,4.759465479,4.485350988,4.507677053,4.381870113,4.251648909,4.177880302,4.138607388,4.051655563,4.044311369,3.98680231,3.973347188,3.880093943,3.796892521,3.796035084,3.678479096,3.654475582,3.46406316,3.431999149,3.292466938,3.159718033,3.167191041,3.112560469,3.179173849,3.195393073,3.18950943,3.233898167
55-59,10.77704291,10.53261978,10.20579317,10.07112699,9.743363122,9.491173074,9.120029332,8.8536536,8.568656818,8.237350884,7.963609002,7.920370433,7.442139665,7.433637117,7.386924616,7.220486573,7.042795215,6.890178175,6.613374327,6.460652705,6.220124211,6.172636763,5.843718093,5.812221937,5.773362763,5.774176163,5.631488302,5.536767458,5.442287363,5.216710036,5.085491962,5.064558076,4.917355791,4.931578556,5.005551204,4.811781528,4.930108854
60-64,16.85171203,16.90818514,16.60767773,17.00937848,16.54099165,16.07678122,15.91578518,15.38379604,14.90280032,14.2573229,13.86015059,13.77453394,12.96837242,12.70550764,12.35110393,11.89834507,11.60011288,11.2655544,10.95438403,10.64466753,10.53727112,10.30229959,9.743136103,9.474510216,9.305845468,8.946659734,8.725195029,8.397380736,8.304164465,8.067387466,8.004624207,8.009783114,7.890424815,7.967800957,7.920530423,7.756489631,7.703828011
65-69,26.96168455,26.9907985,26.41964176,26.05433071,25.40456628,24.73686125,24.77297316,24.73116462,24.49614586,23.84739561,23.20448056,23.27941231,22.0210416,21.69517008,21.00373571,20.2447526,19.61033525,19.06335032,18.15868379,17.16559032,16.87094674,16.52989387,15.79698245,15.31560884,14.85431758,14.65236921,14.2604531,13.46624995,13.15827925,12.63511007,12.28705203,12.13807388,11.91630623,12.14577923,12.24440859,12.14821059,12.19072351
70-74,42.55401685,41.86305136,40.50193371,41.57361887,40.70404062,39.72382451,39.67633207,39.59889551,37.32911801,36.73481027,35.92269799,36.71976449,35.16000313,35.5365223,34.86403708,33.95401718,33.22643756,32.41949968,30.61960147,29.31339794,28.58758763,27.74268072,26.29737172,25.35613671,24.2594151,23.54023729,23.16463338,22.05294836,21.7099671,21.29405602,20.97450765,20.54407435,19.96229446,20.17163744,19.78250846,19.13558163,19.09800603
75-79,66.68335347,65.07225107,62.85167941,64.93017142,63.53331882,61.10966905,60.38275454,60.80491716,58.85515767,58.26310711,57.03147353,58.92615117,55.58572725,55.06284796,53.5569039,52.54809703,51.78794386,52.37648317,50.37092507,48.91312637,48.49140206,47.72185238,44.97220059,43.73787894,41.7054738,40.5854264,39.78378084,37.51504516,36.72846515,34.98889741,35.09475609,34.65378006,33.64865023,34.44094005,34.12493897,34.12868631,33.57620939
80-84,104.7016492,102.6317815,98.1486637,102.1028881,99.03516522,94.28877464,94.04648441,95.09210955,91.46419952,92.29590615,89.57312751,92.37073322,87.30952747,88.6257912,88.29230769,86.86947601,86.09861019,85.15208316,79.92373154,77.49171629,77.07978387,78.01772144,75.43266143,74.36054672,71.68292626,70.96218455,69.93926089,66.30685087,64.67707373,62.06368521,62.78522512,62.51044422,60.2149701,62.60779067,59.93355515,59.73747509,59.10796952
85+,189.8178888,187.2827283,179.8218636,189.0182882,182.8817144,168.1771519,170.0113108,173.2215167,164.5773672,172.3313867,166.3073874,175.9165613,164.4897331,170.536566,170.7153285,170.6015253,168.136692,171.301264,165.1201859,164.7171186,168.5363604,174.2267564,162.3577356,160.1339582,152.8815538,152.8390746,154.5911644,146.6977271,146.8600863,143.003912,149.6139305,150.754158,144.3733298,155.3028888,147.9229757,150.3431803,150.4166636
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(unit: per 1000 population),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
