Age,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
0,12.038451665877023,11.25971851231448,11.084356453425874,10.640795080252335,10.954500456558165,11.305693788042532,10.988476646108856,10.045869358024838,10.056123179246557,9.048238762707996,8.085690967381367,7.409458333264466,7.359384388529842,7.025497422139974,7.175054076381649,6.776864167742099,6.5287702051486844,6.3918675544044525,6.197172802529458,6.155936254486072,5.8981851284910904,6.18004097050033,6.336513166556748,6.374715726920766,6.6564325249082605,6.6384156297359205,6.485837037080035,6.637571282805882,6.378797235030631,6.41171270418095,5.878932915669317,5.203721048542679,5.26357597017451,4.997463908456423,4.9799276739790495,4.826867832503058,4.50643329049271
1-4,0.5118214588687822,0.4817350192787269,0.4946461738191769,0.5096201289238208,0.47952058453669477,0.4990463023008882,0.5035402708618401,0.48711058403077534,0.47170509234223207,0.457617170890273,0.40306500166240483,0.3755895517813887,0.3552812278693949,0.30719079158157714,0.3229811244049519,0.31463569693725446,0.3144746396013128,0.30834864873250545,0.2621261690627404,0.25753449397845796,0.2642001458682711,0.27842078209527216,0.2816127984809976,0.27147326135127725,0.29799290097411135,0.3048961286149722,0.2871429167808363,0.2576932496426312,0.2626505633277222,0.2660886585085908,0.2356479310811985,0.23143240866863302,0.21382558770817106,0.20168716630641698,0.199472491525441,0.16945997442943347,0.15611644721509654
5-9,0.2368337304805119,0.25599060999489476,0.2448784347070633,0.23359485969520283,0.21716306317896675,0.2189463094079184,0.2336316045374126,0.22316975562848143,0.2129320750258206,0.2264417898602159,0.1988584513085644,0.17355760468249756,0.16663172778883178,0.1614247201985309,0.14446993422829274,0.15564400156297228,0.15327391524411751,0.13089378781059902,0.12946547001971068,0.1325856505671793,0.12073017876564414,0.12706606828754385,0.1223034652923161,0.1194160588409025,0.13367020777690317,0.12953698467703037,0.1455021764274732,0.13084927475669483,0.13513930237970492,0.12152330734145232,0.12791139443966526,0.10553119898415494,0.11515983949605671,0.09816482651178801,0.08931341557468435,0.09314388821165909,0.08742929898109557
10-14,0.26012405014729817,0.2546720481748195,0.2573964934828385,0.27089022597214735,0.23254421202416423,0.2611629960717662,0.25410123357068337,0.23287840879536342,0.24618294764530657,0.23514802022974146,0.20991636872008093,0.21695032799866867,0.2082607370977289,0.20171923293883348,0.18318328044219037,0.18840030895429916,0.18030558147888573,0.16724391570726022,0.14984553883180607,0.16165854253585885,0.1569240437400534,0.15948647769690005,0.15186087501882656,0.1705072705076689,0.17142540424221772,0.17117024368489916,0.13748204423352497,0.1528788825465946,0.1427621373999302,0.13011592741250053,0.13623619235807063,0.12838248632560026,0.130432380864577,0.11589051040657253,0.11486012836431286,0.10594719761482276,0.10821375075416839
15-19,0.6069567469649408,0.5910995645926506,0.5775312082561124,0.553490043718932,0.5895498645028951,0.6156214850586971,0.6100340634406417,0.6194655600742264,0.6413366376345301,0.6447689799881478,0.5710292848184835,0.5332780915744517,0.5075210400242677,0.5164604355732014,0.5192430135495162,0.5308256871176925,0.5257586457392306,0.4819504187758016,0.4689639469627115,0.46665034830964314,0.4498111587886485,0.4335179864839316,0.4586088617885706,0.469346646566865,0.47868921240218154,0.4719759265674722,0.47308426208052584,0.4664230398188557,0.41530812281984103,0.36810145846251024,0.3500695020380987,0.3232994937191097,0.33645392897616694,0.3196772016836378,0.3072092126759217,0.2952376507638368,0.3162016924596165
20-24,0.6804191832179758,0.6321852799333805,0.6624401872862207,0.6528229804677528,0.6772979888909213,0.7229939590716093,0.7453901067597947,0.7356853560292288,0.7908343423273798,0.7685691062964485,0.7481707842201409,0.7029050387416714,0.7158833911804731,0.708352321345172,0.6996318795002873,0.7545613259761427,0.7283689431287471,0.6773641413373178,0.6856683438019229,0.6402664180939208,0.6415088720032857,0.6534289152568143,0.6530936810787187,0.6333023660910165,0.652748875959641,0.6625286470959411,0.6695132025821717,0.6304117369366722,0.6211327417630994,0.5646430186759764,0.5126289581506718,0.46660163946183514,0.505644028056703,0.46480945260726114,0.4988740772795125,0.42026627883217255,0.4504796513524618
25-29,0.701452396652634,0.7019814270149393,0.7314972657519009,0.6644677682431294,0.6911329634500973,0.7263559974087983,0.7313366374965058,0.7254081998138915,0.8334039445016431,0.7825290830897701,0.7920644574076624,0.7650755865894189,0.7760256216668201,0.7757363772106431,0.7674469117185707,0.7586825850541579,0.8023116437332599,0.7595548632379814,0.7575203737233963,0.7275752708450812,0.7337890288883566,0.7223460055638662,0.7444901193793138,0.6924995051573583,0.75070641623592,0.7312330475192195,0.7664140106380942,0.7862011665619605,0.7146828733504118,0.7167313240021145,0.6577507461492302,0.6173256698357391,0.6302955001693102,0.5907095024937631,0.6257482676977157,0.5465372627295916,0.5725676365251082
30-34,0.8885353718686682,0.8590730874753659,0.8770254673942848,0.8566189467604203,0.9011984036820482,0.9862259869160583,0.9935976650000653,0.9215140130358658,0.9608516310419585,0.957143420461939,0.9624521028249265,0.9225771498619483,0.9843510633144331,0.9497111963608489,0.9569749423729969,0.9040886780856745,0.9331230835741074,0.900234045543478,0.893018962662907,0.9154959967662852,0.9003845956967338,0.9210729601310741,0.9460611054629927,0.9500758348162344,0.9768252614550982,1.0389024417595238,1.0516454764010088,1.0021621688247053,1.0019105585591757,0.9645078481809768,0.899381835591941,0.865135363362974,0.8616983354729669,0.8299319042359294,0.883938368017086,0.7870412027197833,0.7944506551428047
35-39,1.24308735194893,1.241757251626636,1.2484431936365457,1.2744775513988973,1.254649729385716,1.3470127198888662,1.3662180979347607,1.3469939783522946,1.4374321272817745,1.3986515044801278,1.4091758951592648,1.2648688006580353,1.320248008966875,1.2413757802322622,1.279442769539998,1.2391097971356966,1.2285634525307751,1.1788541160531003,1.21543178107786,1.1968560337287883,1.1647975969609297,1.2051264651770448,1.316233737706118,1.290689886313263,1.3696389394281734,1.3845553069293601,1.4494925502342326,1.474119083532913,1.4455461016508941,1.4265254013505928,1.3100632752613934,1.291384329489061,1.2780712585172578,1.2330973148481295,1.1982607367781926,1.2028210742725662,1.1615675430661772
40-44,2.1645954286828464,2.121737925803105,2.089396442125178,2.1058393460442097,2.096376283337212,2.149997376452325,2.1630240587532548,2.0384562131144937,2.1407655721833914,2.100817533108465,2.111916619925414,1.9940141617693437,2.074298284817914,1.9716803318482408,1.936699450324511,1.949879713104987,1.9138836948860687,1.8171560861089953,1.7995209792201567,1.770269094550921,1.736667905801111,1.8267677129343438,1.8629221957407638,1.9032472554951059,1.9811911407884706,2.0269488322200027,2.0813913973277542,2.1903929179743913,2.1404194427979335,2.1303383332603074,1.9813782961616064,1.919196376012632,1.9585901313336873,1.832996809450051,1.941607831529752,1.7994193737940596,1.761038654890604
45-49,3.835464959026537,3.809725780016853,3.801230433393493,3.666803926653198,3.7198031034522407,3.7752227901467865,3.772925264447213,3.5343132101111396,3.634668471967177,3.543594217638944,3.3615423417748467,3.110153916698973,3.130893871119792,3.052809508987209,3.0514553984752846,3.062897793273493,3.010921202861225,2.8961779969080053,2.861050319056333,2.8719572628474306,2.8850707432113634,2.8517920219406245,2.977022168776279,3.003110679361072,3.0960999893661256,3.0678951786425155,3.1542481786263976,3.1174281981736787,3.105108650867906,3.071378261199993,2.9635087067796904,2.7930248348953244,2.8383020743578973,2.7391315030849954,2.802799129269133,2.6823825071956833,2.671948888252532
50-54,6.814500649575485,6.5989750435659476,6.613887545795691,6.476972835791913,6.3483747963268655,6.526037795499328,6.322488071939752,5.944581052884941,6.121074980391084,6.010905642044199,5.840360979818361,5.5088013399739015,5.387662745067758,5.135631296540463,5.026508769482555,4.938864144814316,4.787989544669887,4.591387444034944,4.493640627733209,4.469785887842631,4.398482292660818,4.529434327152365,4.733477817580707,4.7217196769647956,4.9632416670033335,4.9454186160932965,4.988724030075249,4.89453152714974,4.946954515013849,4.829604892530062,4.527948084215634,4.261753192110396,4.2303386227045925,4.086475370969239,4.144803931455568,3.9548095728482173,3.836445011079302
55-59,11.71872414939471,11.525705449663715,11.525785706491696,11.307944175157921,11.132708883153157,11.488549587809938,11.063273086554748,10.478156276420734,10.654156852595735,10.104569755829107,9.833416652035712,9.167362899660622,8.939264446412938,8.469200205853795,8.473651752404319,8.387569859781875,8.07127715902453,7.643990983920459,7.3348109433592965,7.140334077245308,6.86241856828721,7.036523998661165,7.128979445282087,7.2279324566162355,7.5485589542688984,7.762914384957092,7.68754377663675,7.823149183480165,7.844625500632857,7.652209965115306,7.287626093891999,6.814838848561103,6.683269395543877,6.338997257238086,6.492793792646915,5.96633434295525,5.8486973121210815
60-64,18.324188404350185,18.502401651493113,18.755674488987754,19.09826998477481,18.899638900076003,19.460070617013972,19.307029771873207,18.20647456002824,18.52994880348748,17.48913161563335,17.114430853800048,15.943212816858416,15.577201681278593,14.475483027558845,14.168136119039605,13.821533975784636,13.294114520189163,12.498050714409207,12.149370637160413,11.764520672436554,11.625357073269637,11.744151015165135,11.886031445301072,11.78226169665422,12.167211037681689,12.028062806850839,11.910762332811618,11.865039076779388,11.969794312308938,11.833769240336498,11.470809250830305,10.777915923702388,10.724022609965635,10.241724396986774,10.273867685906394,9.617604248430373,9.139221772846236
65-69,29.31755459109026,29.53567107330112,29.836694149665895,29.254016703624412,29.027106673199196,29.942627207579587,30.051456772548363,29.26893455445867,30.458190334832434,29.25305426822921,28.652753479388235,26.944550452770066,26.45098360269221,24.717474907050818,24.093699497160088,23.517013017025768,22.47409532042436,21.148956422944348,20.139569604600286,18.97146544080149,18.613052448119443,18.843324073235618,19.271354536836974,19.046104472158685,19.421729861956177,19.698929250352936,19.466942236564954,19.027073667084526,18.96661570110446,18.534002181596957,17.60762609791274,16.332919118080383,16.195672658189363,15.612052074546598,15.882450672815967,15.063087471200262,14.46212526684878
70-74,46.27232062434503,45.81017916508365,45.740355586688054,46.67920102765499,46.50819526240592,48.08353236659089,48.13033826799978,46.8646543306636,46.41454161311895,45.06175080648204,44.35713211336739,42.50096753901429,42.233091565579564,40.487034441082464,39.993058580690295,39.442174462649476,38.07860066449238,35.96632147428208,33.95981791421382,32.39726135856956,31.539561835069883,31.625388981838977,32.08118863252332,31.532251432780654,31.71871101743744,31.64795141769636,31.62203730677144,31.159608248778333,31.293195337021082,31.235507925395368,30.056948354031704,27.643982730016123,27.131124388748354,25.928402630956914,25.660260558204268,23.727028583308655,22.656387484002035
75-79,72.5100411307087,71.20769708249968,70.98076319067482,72.90413023585499,72.5927930579303,73.9699358237179,73.2487669585078,71.96163902067468,73.17974038628758,71.47001970352608,70.42212159828436,68.20355394047405,66.76782991198161,62.73352814213357,61.435925798215116,61.0417082535473,59.350703183844125,58.106678078893324,55.86576445887714,54.058944040440736,53.49865800273561,54.40073220333692,54.863340173656965,54.391321976454265,54.52909173014267,54.56383413430286,54.30883283536338,53.006704207456266,52.94116886837296,51.32399301121499,50.29158676315673,46.6299177654805,45.732504183470304,44.27000848400383,44.264094579996396,42.31762228322425,39.83220075377826
80-84,113.85031638159204,112.30859064991763,110.84297382294693,114.64196210648674,113.15699207594764,114.13144134868784,114.08537209496815,112.5399783564404,113.72540046604905,113.21727518996528,110.60436083822593,106.91369045156338,104.87346245546237,100.9720487106467,101.28142720729639,100.91062303766446,98.67186601851289,94.46805864887307,88.64241335022538,85.64409322010017,85.0390960253853,88.93663928583607,92.02324346918027,92.47289848099548,93.7240248189338,95.40293674465349,95.47407380861387,93.68794882170427,93.2268709914261,91.03905472191006,89.97266111407835,84.11367730779831,81.83928190827133,80.4753708842403,77.74093181550472,74.07105811369678,70.12109320387003
85+,206.40388054905495,204.94099353078505,203.07958731595377,212.23128783618995,208.95956159840213,203.5693095127089,206.2363497652328,205.00487193459026,204.63336573973226,211.39496696823127,205.35536491118583,203.61307228488485,197.57990162642068,194.29362735097834,195.8301076165069,198.17670141370613,192.69023169141548,190.04230141699907,183.13273778625498,182.04588742790762,185.93954233183484,198.61054516703186,198.06652912662048,199.13854743090266,199.88964304745394,205.47981518101636,211.0323736949225,207.27585413083483,211.68716408592226,209.76744977298796,214.4001784033385,202.85388717112596,196.22046839707775,199.62463843278005,191.8736497285905,186.41695900641545,178.4426190471982
